t,stock,v
1361,425,0.18
1362,425,0.18
1363,425,0.17
1364,425,0.17
1365,426,0.18
1366,426,0.18
1367,426,0.18
1368,425,0.18
1369,424,0.18
1370,426,0.18
1371,424,0.17
1372,424,0.17
1373,425,0.18
1374,425,0.18
1375,425,0.19
1376,424,0.19
1377,424,0.18
1378,424,0.18
1379,422,0.17
1380,422,0.17
1381,422,0.17
1382,421,0.17
1383,424,0.17
1384,423,0.17
1385,422,0.17
1386,421,0.17
1387,423,0.17
1388,422,0.17
1389,421,0.17
1390,421,0.17
1391,419,0.16
1392,418,0.16
1393,418,0.17
1394,418,0.17
1395,417,0.17
1396,416,0.17
1397,415,0.16
1398,418,0.16
1399,417,0.16
1400,419,0.16
1401,418,0.17
1402,421,0.17
1403,421,0.18
1404,421,0.18
1405,423,0.16
1406,423,0.16
1407,422,0.18
1408,422,0.18
1409,422,0.17
1410,424,0.17
1411,425,0.19
1412,425,0.19
1413,424,0.17
1414,423,0.17
1415,423,0.18
1416,423,0.18
1417,422,0.16
1418,420,0.16
1419,419,0.15
1420,419,0.15
1421,419,0.17
1422,420,0.17
1423,422,0.16
1424,422,0.16
1425,421,0.16
1426,420,0.16
1427,422,0.17
1428,422,0.17
1429,422,0.18
1430,422,0.18
1431,422,0.17
1432,423,0.17
1433,422,0.18
1434,420,0.18
1435,422,0.17
1436,423,0.17
1437,423,0.17
1438,422,0.17
1439,421,0.17
1440,422,0.17
1441,423,0.17
1442,423,0.17
1443,424,0.17
1444,424,0.17
1445,424,0.18
1446,424,0.18
1447,424,0.17
1448,424,0.17
1449,423,0.17
1450,423,0.17
1451,422,0.16
1452,422,0.16
1453,421,0.16
1454,421,0.16
1455,420,0.16
1456,420,0.16
1457,420,0.15
1458,420,0.15
1459,423,0.16
1460,423,0.16
1461,423,0.16
1462,423,0.16
1463,423,0.16
1464,423,0.16
1465,423,0.17
1466,423,0.17
1467,422,0.17
1468,422,0.17
1469,421,0.17
1470,420,0.17
1471,421,0.17
1472,422,0.17
1473,422,0.17
1474,422,0.17
1475,425,0.18
1476,424,0.18
1477,424,0.17
1478,425,0.17
1479,425,0.17
1480,425,0.17
1481,428,0.18
1482,429,0.18
1483,429,0.18
1484,429,0.18
1485,429,0.18
1486,429,0.18
1487,429,0.17
1488,429,0.17
1489,429,0.16
1490,428,0.16
1491,427,0.15
1492,427,0.15
1493,427,0.16
1494,427,0.16
1495,427,0.15
1496,427,0.15
1497,427,0.15
1498,429,0.15
1499,428,0.16
1500,428,0.16
1501,428,0.17
1502,428,0.17
1503,426,0.17
1504,426,0.17
1505,427,0.17
1506,426,0.17
1507,426,0.18
1508,427,0.18
1509,432,0.19
1510,432,0.19
1511,435,0.19
1512,439,0.19
1513,439,0.2
1514,439,0.2
1515,439,0.17
1516,440,0.17
1517,442,0.18
1518,441,0.18
1519,442,0.17
1520,442,0.17
1521,441,0.18
1522,440,0.18
1523,439,0.17
1524,441,0.17
1525,442,0.17
1526,442,0.17
1527,442,0.17
1528,443,0.17
1529,443,0.17
1530,442,0.17
1531,442,0.18
1532,442,0.18
1533,441,0.17
1534,440,0.17
1535,442,0.16
1536,442,0.16
1537,442,0.17
1538,442,0.17
